2018-01-29 15:47:11
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      8.00E-07
Batch size:                         64
Memory size(replay):                1500000
Pretrained:                         True
Pretrained subnet 1:                None
Pretrained subnet 2:                None
Started training after k frames:    750000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
   3900 |   3315820 |     (  64.3/  665.2) |     (  25.8/   34.8) |     (  38.5/  630.4) |  ( 121.0/  1422.0)
   3950 |   3360667 |     (  62.8/  649.8) |     (  25.3/   34.5) |     (  37.5/  615.3) |  ( 121.0/  1422.0)
   4000 |   3406806 |     (  65.6/  685.9) |     (  26.0/   35.9) |     (  39.6/  650.0) |  ( 121.0/  1422.0)
Saved model at episode 4000...
   4050 |   3454915 |     (  67.1/  723.2) |     (  26.7/   36.8) |     (  40.4/  686.4) |  ( 121.0/  1422.0)
   4100 |   3502073 |     (  66.2/  699.9) |     (  26.6/   37.8) |     (  39.6/  662.1) |  ( 121.0/  1524.0)
   4150 |   3547036 |     (  64.9/  668.3) |     (  25.8/   33.8) |     (  39.1/  634.5) |  ( 121.0/  1524.0)
   4200 |   3594266 |     (  66.3/  694.4) |     (  26.3/   34.9) |     (  40.0/  659.5) |  ( 121.0/  1524.0)
   4250 |   3638250 |     (  62.7/  664.2) |     (  24.4/   31.0) |     (  38.4/  633.2) |  ( 121.0/  1524.0)
   4300 |   3681049 |     (  61.7/  646.7) |     (  23.7/   30.9) |     (  38.0/  615.8) |  ( 121.0/  1524.0)
   4350 |   3726668 |     (  66.8/  700.3) |     (  26.4/   37.4) |     (  40.4/  662.9) |  ( 121.0/  1524.0)
   4400 |   3770775 |     (  62.7/  671.6) |     (  24.6/   32.0) |     (  38.1/  639.6) |  ( 121.0/  1524.0)
   4450 |   3819630 |     (  68.9/  730.8) |     (  27.5/   38.1) |     (  41.4/  692.7) |  ( 121.0/  1524.0)
   4500 |   3861489 |     (  61.9/  684.5) |     (  23.7/   31.5) |     (  38.2/  653.0) |  ( 121.0/  1524.0)
Saved model at episode 4500...
   4550 |   3904340 |     (  61.8/  659.5) |     (  24.0/   30.4) |     (  37.8/  629.1) |  ( 121.0/  1524.0)
   4600 |   3950991 |     (  68.0/  735.9) |     (  26.2/   37.0) |     (  41.7/  698.9) |  ( 121.0/  1524.0)
   4650 |   3995740 |     (  63.1/  643.2) |     (  25.5/   33.3) |     (  37.6/  609.9) |  ( 121.0/  1524.0)
   4700 |   4042940 |     (  67.1/  703.3) |     (  26.4/   36.5) |     (  40.7/  666.8) |  ( 121.0/  1524.0)
   4750 |   4088736 |     (  66.2/  693.6) |     (  26.3/   34.7) |     (  39.8/  658.9) |  ( 121.0/  1524.0)
   4800 |   4134283 |     (  64.4/  670.6) |     (  25.8/   32.9) |     (  38.6/  637.7) |  ( 121.0/  1524.0)
   4850 |   4181829 |     (  68.4/  725.4) |     (  26.5/   38.3) |     (  41.9/  687.1) |  ( 121.0/  1524.0)
   4900 |   4224678 |     (  61.1/  636.1) |     (  23.9/   30.7) |     (  37.2/  605.4) |  ( 121.0/  1524.0)
   4950 |   4272403 |     (  66.5/  694.9) |     (  27.3/   38.2) |     (  39.3/  656.7) |  ( 121.0/  1524.0)
   5000 |   4317807 |     (  66.2/  694.1) |     (  25.7/   35.7) |     (  40.4/  658.4) |  ( 121.0/  1524.0)
Saved model at episode 5000...
   5050 |   4362905 |     (  65.0/  681.6) |     (  25.8/   34.3) |     (  39.2/  647.3) |  ( 121.0/  1524.0)
   5100 |   4408411 |     (  66.8/  703.0) |     (  26.1/   35.3) |     (  40.7/  667.7) |  ( 121.0/  1524.0)
   5150 |   4454656 |     (  67.4/  704.6) |     (  26.3/   38.7) |     (  41.1/  665.9) |  ( 121.0/  1524.0)
   5200 |   4500477 |     (  66.7/  712.6) |     (  26.1/   38.3) |     (  40.6/  674.3) |  ( 121.0/  1524.0)
   5250 |   4547518 |     (  66.3/  712.3) |     (  25.9/   35.2) |     (  40.4/  677.1) |  ( 121.0/  1524.0)
   5300 |   4594284 |     (  66.2/  692.0) |     (  26.1/   36.0) |     (  40.1/  656.0) |  ( 121.0/  1524.0)
   5350 |   4638842 |     (  63.1/  670.9) |     (  25.0/   33.8) |     (  38.1/  637.1) |  ( 121.0/  1524.0)
   5400 |   4684637 |     (  66.2/  698.0) |     (  26.1/   35.9) |     (  40.1/  662.1) |  ( 121.0/  1524.0)
   5450 |   4731293 |     (  67.9/  732.6) |     (  25.7/   36.0) |     (  42.2/  696.6) |  ( 121.0/  1524.0)
   5500 |   4777595 |     (  66.2/  679.5) |     (  26.4/   36.6) |     (  39.9/  642.9) |  ( 121.0/  1524.0)
Saved model at episode 5500...
   5550 |   4824473 |     (  65.9/  689.0) |     (  26.7/   37.2) |     (  39.2/  651.8) |  ( 121.0/  1524.0)
   5600 |   4869550 |     (  65.6/  710.0) |     (  25.6/   35.4) |     (  40.0/  674.6) |  ( 121.0/  1524.0)
   5650 |   4916850 |     (  69.0/  758.6) |     (  26.4/   36.1) |     (  42.7/  722.5) |  ( 121.0/  1524.0)
   5700 |   4962575 |     (  66.0/  706.2) |     (  25.9/   35.5) |     (  40.1/  670.7) |  ( 121.0/  1524.0)
   5750 |   5007127 |     (  64.7/  697.9) |     (  25.6/   33.9) |     (  39.2/  664.0) |  ( 121.0/  1524.0)
   5800 |   5053609 |     (  66.7/  691.3) |     (  26.5/   36.5) |     (  40.3/  654.8) |  ( 121.0/  1524.0)
   5850 |   5102007 |     (  69.5/  747.2) |     (  27.1/   36.9) |     (  42.5/  710.3) |  ( 121.0/  1524.0)
   5900 |   5151702 |     (  72.7/  774.1) |     (  28.1/   40.5) |     (  44.7/  733.6) |  ( 121.0/  1524.0)
   5950 |   5197536 |     (  66.1/  682.5) |     (  26.4/   35.9) |     (  39.7/  646.6) |  ( 121.0/  1524.0)
   6000 |   5244692 |     (  66.2/  716.7) |     (  26.2/   37.4) |     (  40.1/  679.3) |  ( 121.0/  1524.0)
Saved model at episode 6000...
   6050 |   5286545 |     (  61.6/  660.0) |     (  24.1/   32.1) |     (  37.5/  627.9) |  ( 121.0/  1524.0)
   6100 |   5334422 |     (  68.7/  718.6) |     (  27.7/   40.4) |     (  41.0/  678.2) |  ( 123.0/  1681.0)
   6150 |   5382766 |     (  68.8/  726.2) |     (  27.0/   38.7) |     (  41.8/  687.5) |  ( 123.0/  1681.0)
   6200 |   5429097 |     (  67.3/  711.3) |     (  26.3/   36.4) |     (  41.0/  674.9) |  ( 123.0/  1681.0)
   6250 |   5477284 |     (  69.5/  736.3) |     (  27.4/   38.7) |     (  42.1/  697.6) |  ( 123.0/  1681.0)
   6300 |   5525653 |     (  71.0/  771.4) |     (  27.0/   37.4) |     (  44.0/  734.0) |  ( 123.0/  1681.0)
   6350 |   5571630 |     (  66.4/  712.9) |     (  25.9/   35.4) |     (  40.5/  677.5) |  ( 123.0/  1681.0)
   6400 |   5617423 |     (  66.0/  708.7) |     (  26.2/   37.0) |     (  39.8/  671.7) |  ( 123.0/  1681.0)
   6450 |   5663237 |     (  67.3/  702.8) |     (  26.4/   36.9) |     (  40.9/  665.9) |  ( 123.0/  1681.0)
   6500 |   5709086 |     (  66.8/  705.4) |     (  26.2/   35.6) |     (  40.6/  669.8) |  ( 123.0/  1681.0)
Saved model at episode 6500...
   6550 |   5754201 |     (  65.5/  690.3) |     (  25.5/   34.7) |     (  40.0/  655.6) |  ( 123.0/  1681.0)
   6600 |   5805089 |     (  75.4/  804.9) |     (  29.2/   46.2) |     (  46.1/  758.7) |  ( 123.0/  1681.0)
   6650 |   5852748 |     (  69.3/  734.5) |     (  26.8/   38.0) |     (  42.6/  696.5) |  ( 123.0/  1681.0)
   6700 |   5900453 |     (  69.6/  738.5) |     (  27.3/   38.5) |     (  42.3/  700.0) |  ( 123.0/  1681.0)
   6750 |   5949004 |     (  70.6/  767.9) |     (  27.5/   37.8) |     (  43.1/  730.1) |  ( 123.0/  1681.0)
   6800 |   5995307 |     (  67.7/  724.9) |     (  26.0/   37.8) |     (  41.6/  687.1) |  ( 123.0/  1681.0)
   6850 |   6042397 |     (  68.0/  709.9) |     (  27.1/   38.7) |     (  40.9/  671.2) |  ( 123.0/  1681.0)
   6900 |   6088524 |     (  67.2/  693.4) |     (  26.0/   35.4) |     (  41.2/  658.0) |  ( 123.0/  1681.0)
   6950 |   6133723 |     (  66.0/  697.6) |     (  25.8/   37.2) |     (  40.2/  660.4) |  ( 123.0/  1681.0)
   7000 |   6183838 |     (  73.0/  791.0) |     (  28.3/   40.2) |     (  44.7/  750.8) |  ( 123.0/  1681.0)
Saved model at episode 7000...
