2018-01-27 07:33:19
Trained game (first):               Breakout
Trained game (second):              SpaceInvaders
Learning rate:                      1.00E-05
Batch size:                         64
Memory size(replay):                1200000
Pretrained:                         False
Pretrained subnet 1:                modelParams/Breakout_final.model
Pretrained subnet 2:                modelParams/SpaceInvaders_final.model
Started training after k frames:    50000
Optimized after k frames:           1
Target net update after k frame:    10000

--------+-----------+----------------------+----------------------+----------------------+--------------------
Episode | Steps     |  50 games avg total  |  50 games avg game1  |  50 games avg game2  | best score total 
   3800 |   1027860 |     (  28.4/  278.2) |     (   9.2/   10.3) |     (  19.1/  267.9) |  (  45.0/   578.0)
   3850 |   1050066 |     (  27.9/  293.2) |     (   8.7/    9.4) |     (  19.2/  283.8) |  (  45.0/   734.0)
   3900 |   1072227 |     (  28.1/  294.3) |     (   8.5/    9.5) |     (  19.6/  284.8) |  (  51.0/   734.0)
   3950 |   1094983 |     (  28.7/  270.7) |     (   9.0/    9.8) |     (  19.7/  260.9) |  (  51.0/   734.0)
   4000 |   1117063 |     (  29.4/  288.0) |     (   8.7/    9.5) |     (  20.6/  278.5) |  (  51.0/   734.0)
Saved model at episode 4000...
   4050 |   1138749 |     (  27.9/  269.6) |     (   8.5/    9.4) |     (  19.4/  260.2) |  (  51.0/   734.0)
   4100 |   1161428 |     (  29.1/  285.3) |     (   9.1/    9.9) |     (  20.1/  275.4) |  (  51.0/   734.0)
   4150 |   1185895 |     (  32.5/  338.4) |     (  10.4/   11.1) |     (  22.2/  327.3) |  (  51.0/   734.0)
   4200 |   1212136 |     (  33.0/  332.6) |     (  11.3/   12.5) |     (  21.7/  320.1) |  (  55.0/   734.0)
   4250 |   1236184 |     (  31.3/  336.8) |     (   9.9/   11.2) |     (  21.3/  325.6) |  (  55.0/   833.0)
   4300 |   1257890 |     (  27.8/  283.5) |     (   8.2/    8.9) |     (  19.6/  274.6) |  (  55.0/   833.0)
   4350 |   1281407 |     (  30.3/  320.7) |     (   9.4/   10.3) |     (  20.8/  310.4) |  (  55.0/   833.0)
   4400 |   1308724 |     (  33.7/  334.5) |     (  12.0/   14.0) |     (  21.7/  320.5) |  (  55.0/   833.0)
   4450 |   1337875 |     (  36.0/  359.8) |     (  13.3/   15.7) |     (  22.6/  344.1) |  (  61.0/   833.0)
   4500 |   1367140 |     (  36.5/  349.8) |     (  13.6/   15.6) |     (  22.9/  334.2) |  (  61.0/   833.0)
Saved model at episode 4500...
   4550 |   1395702 |     (  36.2/  376.1) |     (  12.8/   14.7) |     (  23.3/  361.4) |  (  61.0/   833.0)
   4600 |   1421252 |     (  32.3/  323.7) |     (  10.8/   12.1) |     (  21.5/  311.6) |  (  61.0/   833.0)
   4650 |   1446151 |     (  31.9/  315.7) |     (  10.5/   11.4) |     (  21.3/  304.3) |  (  61.0/   833.0)
   4700 |   1466353 |     (  24.9/  237.9) |     (   7.6/    8.9) |     (  17.3/  229.0) |  (  65.0/   833.0)
   4750 |   1483337 |     (  20.1/  186.6) |     (   5.2/    5.4) |     (  14.9/  181.2) |  (  65.0/   833.0)
   4800 |   1496553 |     (  14.3/  120.8) |     (   3.1/    3.3) |     (  11.2/  117.5) |  (  65.0/   833.0)
   4850 |   1507045 |     (  12.0/  100.5) |     (   1.7/    1.9) |     (  10.2/   98.6) |  (  65.0/   833.0)
   4900 |   1518584 |     (  12.9/  102.9) |     (   2.3/    2.2) |     (  10.7/  100.7) |  (  65.0/   833.0)
